,Likely_distance
0,2.0479499999999997
1,2.0479499999999997
2,2.0479499999999997
3,2.0479499999999997
4,2.0479499999999997
5,2.0479499999999997
6,2.0479499999999997
7,2.0479499999999997
8,2.0479499999999997
9,2.0479499999999997
10,2.0479499999999997
11,2.0479499999999997
12,2.0479499999999997
13,2.0521125
14,2.0521125
15,2.0521125
16,2.0479499999999997
17,2.0479499999999997
18,2.0479499999999997
19,2.0479499999999997
20,2.0479499999999997
21,2.0479499999999997
22,2.0479499999999997
23,2.0479499999999997
24,2.0521125
25,2.0521125
26,2.0521125
27,2.0479499999999997
28,2.0479499999999997
29,2.0521125
30,2.0521125
31,2.0521125
32,2.0521125
33,2.0521125
34,2.0521125
35,2.0521125
36,2.0521125
37,2.0521125
38,2.0521125
39,2.0521125
40,2.0521125
41,2.0521125
42,2.0521125
43,2.0521125
44,2.0521125
45,2.0521125
46,2.0521125
47,2.0521125
48,2.0521125
49,2.0521125
50,2.0521125
51,2.0521125
52,2.0521125
53,2.0521125
54,2.0521125
55,2.0521125
56,2.0521125
57,2.0521125
58,2.0521125
59,2.0521125
60,2.0521125
61,2.0521125
62,2.0521125
63,2.0521125
64,2.056275
65,2.056275
66,2.0521125
67,2.056275
68,2.056275
69,2.056275
70,2.056275
71,2.0521125
72,2.0521125
73,2.0521125
74,2.0521125
75,2.056275
76,2.0521125
77,2.0521125
78,2.0521125
79,2.0521125
80,2.0521125
81,2.0521125
82,2.0521125
83,2.0521125
84,2.0521125
85,2.0521125
86,2.0521125
87,2.0521125
88,2.0479499999999997
89,2.0479499999999997
90,2.0479499999999997
91,2.0479499999999997
92,2.0479499999999997
93,2.0479499999999997
94,2.0479499999999997
95,2.0479499999999997
96,2.0479499999999997
97,2.0479499999999997
98,2.0479499999999997
99,2.0479499999999997
